Organisation,SectorJo,RegionCODE,GovCODE,Status
NICCOD,EDUCATION,2,1712,Ongoing
RI,EDUCATION,2,1704,Planned
SCI,EDUCATION,2,1705,Completed
SCI,EDUCATION,1,1707,Ongoing
SCI,EDUCATION,1,1711,Planned
SCI,EDUCATION,2,1712,Completed
TAGHYEER,EDUCATION,2,1705,Ongoing
TAGHYEER,EDUCATION,2,1712,Planned
TDHI,EDUCATION,3,1703,Completed
TDHI,EDUCATION,3,1706,Ongoing
TDHI,EDUCATION,2,1712,Planned
UNESCO,EDUCATION,1,1707,Completed
UNESCO,EDUCATION,1,1711,Ongoing
UNHCR,EDUCATION,2,1705,Planned
WARCHILD UK,EDUCATION,1,1707,Completed
WVI,EDUCATION,1,1707,Ongoing
WVI,EDUCATION,2,1712,Planned
ACF,FOOD,1,1707,Completed
WVI,FOOD,2,1705,Ongoing
ACTED,HEALTH,1,1707,Planned
ACTIONAID,HEALTH,2,1705,Completed
CARITAS,HEALTH,2,1705,Ongoing
CVT,HEALTH,2,1705,Planned
CVT,HEALTH,2,1712,Completed
FRC,HEALTH,2,1705,Ongoing
IMC,HEALTH,1,1701,Planned
IMC,HEALTH,2,1702,Completed
IMC,HEALTH,2,1705,Ongoing
IMC,HEALTH,1,1707,Planned
IMC,HEALTH,1,1708,Completed
IMC,HEALTH,2,1704,Ongoing
IMC,HEALTH,3,1709,Planned
IMC,HEALTH,1,1711,Completed
IMC,HEALTH,2,1712,Ongoing
IOM,HEALTH,2,1704,Planned
IOM,HEALTH,3,1709,Completed
IR,HEALTH,2,1705,Ongoing
IR,HEALTH,1,1707,Planned
IRC,HEALTH,1,1707,Completed
IRC,HEALTH,1,1711,Ongoing
IRD,HEALTH,2,1702,Planned
IRD,HEALTH,2,1705,Completed
IRD,HEALTH,1,1707,Ongoing
IRD,HEALTH,2,1704,Planned
IRD,HEALTH,3,1709,Completed
IRD,HEALTH,1,1711,Ongoing
IRD,HEALTH,2,1712,Planned
JHAS,HEALTH,2,1702,Completed
JHAS,HEALTH,2,1704,Ongoing
MDM,HEALTH,1,1707,Planned
NICCOD,HEALTH,2,1712,Completed
OPM,HEALTH,2,1705,Ongoing
RHAS,HEALTH,1,1707,Planned
RHAS,HEALTH,2,1712,Completed
RI,HEALTH,2,1705,Ongoing
RI,HEALTH,1,1707,Planned
RI,HEALTH,2,1704,Completed
RI,HEALTH,1,1711,Ongoing
TDHI,HEALTH,3,1703,Planned
TDHI,HEALTH,3,1706,Completed
TDHI,HEALTH,2,1712,Ongoing
UNFPA,HEALTH,2,1702,Planned
UNFPA,HEALTH,2,1705,Completed
UNFPA,HEALTH,1,1707,Ongoing
UNFPA,HEALTH,2,1704,Planned
UNFPA,HEALTH,1,1711,Completed
UNFPA,HEALTH,2,1712,Ongoing
UNHCR,HEALTH,2,1702,Planned
UNHCR,HEALTH,2,1705,Completed
UNHCR,HEALTH,1,1707,Ongoing
UNHCR,HEALTH,2,1704,Planned
UNHCR,HEALTH,3,1709,Completed
UNHCR,HEALTH,1,1711,Ongoing
UNHCR,HEALTH,2,1712,Planned
UPP,HEALTH,2,1705,Completed
UPP,HEALTH,1,1707,Ongoing
UPP,HEALTH,2,1712,Planned
WHO,HEALTH,1,1707,Completed
WHO,HEALTH,2,1712,Ongoing
AVSI,NFI,2,1710,Planned
AVSI,NFI,2,1712,Completed
CARE,NFI,2,1705,Ongoing
CARE,NFI,1,1707,Planned
CARE,NFI,1,1711,Completed
CARE,NFI,2,1712,Ongoing
CARITAS,NFI,2,1705,Planned
CHF,NFI,3,1703,Completed
CHF,NFI,2,1704,Ongoing
CHF,NFI,3,1709,Planned
CHF,NFI,3,1706,Completed
DRC,NFI,2,1705,Ongoing
DRC,NFI,2,1704,Planned
DRC,NFI,3,1709,Completed
DRC,NFI,3,1706,Ongoing
ICMC,NFI,1,1701,Planned
ICMC,NFI,1,1707,Completed
ICMC,NFI,1,1711,Ongoing
IR,NFI,1,1707,Planned
LWF,NFI,1,1707,Completed
LWF,NFI,1,1711,Ongoing
MA,NFI,1,1707,Planned
MA,NFI,2,1704,Completed
MEDAIR,NFI,1,1707,Ongoing
MEDAIR,NFI,1,1711,Planned
MERCY CORPS,NFI,2,1705,Completed
MERCY CORPS,NFI,1,1707,Ongoing
MERCY CORPS,NFI,1,1708,Planned
MERCY CORPS,NFI,1,1711,Completed
MPDL,NFI,2,1712,Ongoing
NICCOD,NFI,2,1712,Planned
OPM,NFI,2,1705,Completed
OPM,NFI,2,1710,Ongoing
PU-AMI,NFI,2,1712,Planned
TDHI,NFI,3,1703,Completed
TDHI,NFI,3,1706,Ongoing
TGH,NFI,2,1705,Planned
TGH,NFI,1,1707,Completed
WARCHILD UK,NFI,1,1707,Ongoing
WVI,NFI,1,1707,Planned
WVI,NFI,1,1711,Completed
WVI,NFI,2,1712,Ongoing
ACF,PROTECTION,1,1707,Planned
AVSI,PROTECTION,3,1703,Completed
AVSI,PROTECTION,1,1711,Ongoing
AVSI,PROTECTION,2,1712,Planned
CARE,PROTECTION,2,1705,Completed
CARE,PROTECTION,1,1707,Ongoing
CARE,PROTECTION,1,1711,Planned
CARE,PROTECTION,2,1712,Completed
CHF,PROTECTION,1,1707,Ongoing
CHF,PROTECTION,1,1711,Planned
CHF,PROTECTION,3,1706,Completed
DRC,PROTECTION,2,1705,Ongoing
DRC,PROTECTION,2,1704,Planned
DRC,PROTECTION,3,1709,Completed
DRC,PROTECTION,1,1711,Ongoing
DRC,PROTECTION,3,1706,Planned
FCA,PROTECTION,1,1707,Completed
FPSC,PROTECTION,2,1705,Ongoing
FPSC,PROTECTION,1,1707,Planned
FPSC,PROTECTION,2,1704,Completed
FPSC,PROTECTION,3,1709,Ongoing
ICMC,PROTECTION,1,1711,Planned
ILO,PROTECTION,2,1705,Completed
ILO,PROTECTION,1,1707,Ongoing
ILO,PROTECTION,1,1711,Planned
IMC,PROTECTION,1,1701,Completed
IMC,PROTECTION,2,1702,Ongoing
IMC,PROTECTION,2,1705,Planned
IMC,PROTECTION,1,1707,Completed
IMC,PROTECTION,1,1708,Ongoing
IMC,PROTECTION,2,1704,Planned
IMC,PROTECTION,2,1710,Completed
IMC,PROTECTION,1,1711,Ongoing
IMC,PROTECTION,2,1712,Planned
INTERNEWS,PROTECTION,2,1705,Completed
IRC,PROTECTION,1,1707,Ongoing
IRC,PROTECTION,1,1711,Planned
LWF,PROTECTION,1,1711,Completed
MERCY CORPS,PROTECTION,1,1707,Ongoing
MERCY CORPS,PROTECTION,1,1711,Planned
MPDL,PROTECTION,2,1712,Completed
NICCOD,PROTECTION,2,1712,Ongoing
NRC,PROTECTION,1,1707,Planned
SC JORDAN,PROTECTION,1,1711,Completed
SCI,PROTECTION,2,1705,Ongoing
SCI,PROTECTION,1,1707,Planned
SCI,PROTECTION,2,1704,Completed
SCI,PROTECTION,3,1709,Ongoing
SCI,PROTECTION,1,1711,Planned
SCI,PROTECTION,2,1712,Completed
TDH,PROTECTION,1,1701,Ongoing
TDH,PROTECTION,1,1707,Planned
TDH,PROTECTION,1,1708,Completed
TDH,PROTECTION,1,1711,Ongoing
TDHI,PROTECTION,3,1703,Planned
TDHI,PROTECTION,3,1706,Completed
TDHI,PROTECTION,2,1712,Ongoing
TGH,PROTECTION,2,1705,Planned
TGH,PROTECTION,1,1707,Completed
UN WOMEN,PROTECTION,1,1707,Ongoing
UN WOMEN,PROTECTION,1,1711,Planned
UNDP,PROTECTION,1,1711,Completed
UNESCO,PROTECTION,2,1705,Ongoing
UNESCO,PROTECTION,1,1707,Planned
UNESCO,PROTECTION,1,1711,Completed
UNESCO,PROTECTION,2,1712,Ongoing
UNFPA,PROTECTION,1,1701,Planned
UNFPA,PROTECTION,2,1702,Completed
UNFPA,PROTECTION,2,1705,Ongoing
UNFPA,PROTECTION,1,1707,Planned
UNFPA,PROTECTION,1,1708,Completed
UNFPA,PROTECTION,3,1709,Ongoing
UNFPA,PROTECTION,1,1711,Planned
UNFPA,PROTECTION,2,1712,Completed
UNHCR,PROTECTION,1,1701,Ongoing
UNHCR,PROTECTION,2,1702,Planned
UNHCR,PROTECTION,2,1705,Completed
UNHCR,PROTECTION,3,1703,Ongoing
UNHCR,PROTECTION,1,1707,Planned
UNHCR,PROTECTION,1,1708,Completed
UNHCR,PROTECTION,2,1704,Ongoing
UNHCR,PROTECTION,3,1709,Planned
UNHCR,PROTECTION,2,1710,Completed
UNHCR,PROTECTION,1,1711,Ongoing
UNHCR,PROTECTION,3,1706,Planned
UNHCR,PROTECTION,2,1712,Completed
UPP,PROTECTION,1,1701,Ongoing
UPP,PROTECTION,2,1702,Planned
UPP,PROTECTION,2,1705,Completed
UPP,PROTECTION,1,1707,Ongoing
UPP,PROTECTION,2,1704,Planned
UPP,PROTECTION,2,1710,Completed
UPP,PROTECTION,1,1711,Ongoing
UPP,PROTECTION,2,1712,Planned
WARCHILD UK,PROTECTION,1,1707,Completed
WARCHILD UK,PROTECTION,1,1708,Ongoing
WARCHILD UK,PROTECTION,2,1704,Planned
WVI,PROTECTION,1,1707,Completed
WVI,PROTECTION,2,1712,Ongoing
ADRA,SHELTER,2,1705,Planned
ADRA,SHELTER,1,1707,Completed
ADRA,SHELTER,1,1711,Ongoing
CARITAS,SHELTER,2,1705,Planned
CHF,SHELTER,3,1703,Completed
CHF,SHELTER,2,1704,Ongoing
CHF,SHELTER,3,1709,Planned
CHF,SHELTER,3,1706,Completed
DRC,SHELTER,2,1704,Ongoing
INTERSOS,SHELTER,1,1707,Planned
IOM,SHELTER,2,1705,Completed
IOM,SHELTER,1,1707,Ongoing
IOM,SHELTER,1,1711,Planned
IR,SHELTER,1,1707,Completed
IR,SHELTER,1,1711,Ongoing
LWF,SHELTER,1,1711,Planned
MEDAIR,SHELTER,1,1707,Completed
MERCY CORPS,SHELTER,1,1707,Ongoing
MERCY CORPS,SHELTER,1,1708,Planned
MERCY CORPS,SHELTER,1,1711,Completed
NRC,SHELTER,1,1707,Ongoing
PU-AMI,SHELTER,2,1702,Planned
PU-AMI,SHELTER,2,1705,Completed
PU-AMI,SHELTER,1,1708,Ongoing
PU-AMI,SHELTER,2,1712,Planned
TGH,SHELTER,2,1705,Completed
TGH,SHELTER,1,1707,Ongoing
UNHABITAT,SHELTER,1,1707,Planned
UNHABITAT,SHELTER,2,1712,Completed
UNHCR,SHELTER,1,1707,Ongoing
ACF,WASH,1,1707,Planned
CHF,WASH,3,1703,Completed
CHF,WASH,2,1704,Ongoing
CHF,WASH,3,1709,Planned
CHF,WASH,3,1706,Completed
JEN,WASH,2,1705,Ongoing
JEN,WASH,1,1707,Planned
JEN,WASH,1,1711,Completed
JEN,WASH,2,1712,Ongoing
MEDAIR,WASH,1,1711,Planned
MERCY CORPS,WASH,1,1707,Completed
MERCY CORPS,WASH,1,1711,Ongoing
OXFAM,WASH,2,1702,Planned
OXFAM,WASH,2,1712,Completed
RI,WASH,1,1707,Ongoing
RI,WASH,2,1704,Planned
RI,WASH,1,1711,Completed
UNDP,WASH,1,1707,Ongoing
UNHABITAT,WASH,1,1711,Planned
UNHCR,WASH,1,1701,Completed
UNHCR,WASH,1,1707,Ongoing
UNHCR,WASH,1,1708,Planned
UNHCR,WASH,1,1711,Completed
WVI,WASH,1,1707,Ongoing
WVI,WASH,1,1711,Planned
WVI,WASH,2,1712,Completed
