Organisation,SectorJo,Status,RegionCODE,GovCODE,Total
UNICEF,PROTECTION,B-Preventing-deterioration,5,2,4275844
UNICEF,PROTECTION,B-Preventing-deterioration,4,1,8302728
UPP,PROTECTION,B-Preventing-deterioration,1,1701,2852
UPP,PROTECTION,B-Preventing-deterioration,2,1702,25926
UPP,PROTECTION,B-Preventing-deterioration,2,1705,18927
UPP,PROTECTION,B-Preventing-deterioration,1,1707,25710
UPP,PROTECTION,B-Preventing-deterioration,1,1704,14403
UPP,PROTECTION,B-Preventing-deterioration,2,1710,2170
UPP,PROTECTION,B-Preventing-deterioration,1,1711,4618
UPP,PROTECTION,B-Preventing-deterioration,2,1712,13031
UnWomen,PROTECTION,B-Preventing-deterioration,5,2,700000
UnWomen,PROTECTION,B-Preventing-deterioration,1,1707,300000
UnWomen,PROTECTION,B-Preventing-deterioration,1,1711,50000
WVI,PROTECTION,B-Preventing-deterioration,1,1707,175000
WVI,PROTECTION,B-Preventing-deterioration,2,1712,150000
WarChildUK,PROTECTION,B-Preventing-deterioration,1,1707,54817
WarChildUK,PROTECTION,B-Preventing-deterioration,1,1704,67993
ACTED,PROTECTION,C-Capacity-building/Resilience,5,2,400000
AVSI,PROTECTION,C-Capacity-building/Resilience,3,1703,25000
AVSI,PROTECTION,C-Capacity-building/Resilience,1,1711,35600
AVSI,PROTECTION,C-Capacity-building/Resilience,2,1712,35600
CARE,PROTECTION,C-Capacity-building/Resilience,2,1705,489000
CARE,PROTECTION,C-Capacity-building/Resilience,5,2,1500000
CARE,PROTECTION,C-Capacity-building/Resilience,1,1707,489000
CARE,PROTECTION,C-Capacity-building/Resilience,1,1711,489000
CARE,PROTECTION,C-Capacity-building/Resilience,2,1712,783000
DRC,PROTECTION,C-Capacity-building/Resilience,2,1705,229000
DRC,PROTECTION,C-Capacity-building/Resilience,3,1709,26880
DRC,PROTECTION,C-Capacity-building/Resilience,1,1711,1230000
FCA,PROTECTION,C-Capacity-building/Resilience,5,2,1000000
FCA,PROTECTION,C-Capacity-building/Resilience,1,1707,500000
ILO,PROTECTION,C-Capacity-building/Resilience,2,1705,640000
ILO,PROTECTION,C-Capacity-building/Resilience,5,2,200000
ILO,PROTECTION,C-Capacity-building/Resilience,1,1707,330000
ILO,PROTECTION,C-Capacity-building/Resilience,1,1711,330000
ILO,PROTECTION,C-Capacity-building/Resilience,4,1,800000
IMC,PROTECTION,C-Capacity-building/Resilience,1,1701,159600
IMC,PROTECTION,C-Capacity-building/Resilience,2,1702,175200
IMC,PROTECTION,C-Capacity-building/Resilience,2,1705,5000
IMC,PROTECTION,C-Capacity-building/Resilience,1,1707,1321660
IMC,PROTECTION,C-Capacity-building/Resilience,1,1708,3000
IMC,PROTECTION,C-Capacity-building/Resilience,1,1704,5000
IMC,PROTECTION,C-Capacity-building/Resilience,2,1710,5000
IMC,PROTECTION,C-Capacity-building/Resilience,1,1711,660830
IMC,PROTECTION,C-Capacity-building/Resilience,4,1,13600
IMC,PROTECTION,C-Capacity-building/Resilience,2,1712,610830
IOM,PROTECTION,C-Capacity-building/Resilience,5,2,1093995
IRC,PROTECTION,C-Capacity-building/Resilience,1,1707,650000
IRC,PROTECTION,C-Capacity-building/Resilience,1,1711,150000
IRC,PROTECTION,C-Capacity-building/Resilience,4,1,1000000
Internews,PROTECTION,C-Capacity-building/Resilience,4,1,30000
LWF,PROTECTION,C-Capacity-building/Resilience,5,2,672000
LWF,PROTECTION,C-Capacity-building/Resilience,1,1711,400000
MercyCorps,PROTECTION,C-Capacity-building/Resilience,1,1707,200000
MercyCorps,PROTECTION,C-Capacity-building/Resilience,1,1711,200000
MercyCorps,PROTECTION,C-Capacity-building/Resilience,4,1,300000
NICCOD,PROTECTION,C-Capacity-building/Resilience,2,1712,50000
SCJordan,PROTECTION,C-Capacity-building/Resilience,4,1,45000
SCI,PROTECTION,C-Capacity-building/Resilience,4,1,200000
SCI,PROTECTION,C-Capacity-building/Resilience,2,1712,300000
UNFPA,PROTECTION,C-Capacity-building/Resilience,1,1701,10000
UNFPA,PROTECTION,C-Capacity-building/Resilience,2,1702,10000
UNFPA,PROTECTION,C-Capacity-building/Resilience,2,1705,200000
UNFPA,PROTECTION,C-Capacity-building/Resilience,5,2,494000
UNFPA,PROTECTION,C-Capacity-building/Resilience,1,1707,175000
UNFPA,PROTECTION,C-Capacity-building/Resilience,1,1708,10000
UNFPA,PROTECTION,C-Capacity-building/Resilience,3,1709,10000
UNFPA,PROTECTION,C-Capacity-building/Resilience,1,1711,200000
UNFPA,PROTECTION,C-Capacity-building/Resilience,4,1,192500
UNFPA,PROTECTION,C-Capacity-building/Resilience,2,1712,150000
UNHCR,PROTECTION,C-Capacity-building/Resilience,4,1,925000
WVI,PROTECTION,C-Capacity-building/Resilience,1,1707,43240
WVI,PROTECTION,C-Capacity-building/Resilience,2,1712,43240
ACTED,SHELTER,A-Life-saving,4,1,562500
Caritas,SHELTER,A-Life-saving,2,1705,1000000
IR,SHELTER,A-Life-saving,1,1707,281512
IR,SHELTER,A-Life-saving,1,1711,640392
LWF,SHELTER,A-Life-saving,1,1711,141243
NRC,SHELTER,A-Life-saving,5,2,850000
UNHCR,SHELTER,A-Life-saving,5,2,62666403
UNHCR,SHELTER,A-Life-saving,1,1707,6200000
ACTED,SHELTER,B-Preventing-deterioration,4,1,200000
ADRA,SHELTER,B-Preventing-deterioration,2,1705,150000
ADRA,SHELTER,B-Preventing-deterioration,1,1707,300000
ADRA,SHELTER,B-Preventing-deterioration,1,1711,300000
CHF,SHELTER,B-Preventing-deterioration,3,1703,14400
CHF,SHELTER,B-Preventing-deterioration,1,1704,14400
CHF,SHELTER,B-Preventing-deterioration,3,1709,14400
CHF,SHELTER,B-Preventing-deterioration,3,1706,14400
Caritas,SHELTER,B-Preventing-deterioration,2,1705,400000
DRC,SHELTER,B-Preventing-deterioration,1,1704,109400
ICMC,SHELTER,B-Preventing-deterioration,4,1,700000
IOM,SHELTER,B-Preventing-deterioration,2,1705,1500000
IOM,SHELTER,B-Preventing-deterioration,1,1707,1150000
IOM,SHELTER,B-Preventing-deterioration,1,1711,800000
IOM,SHELTER,B-Preventing-deterioration,4,1,300000
Intersos,SHELTER,B-Preventing-deterioration,1,1707,598500
JHAS,SHELTER,B-Preventing-deterioration,4,1,3000000
MEDAIR,SHELTER,B-Preventing-deterioration,1,1707,1718000
MercyCorps,SHELTER,B-Preventing-deterioration,5,2,225000
MercyCorps,SHELTER,B-Preventing-deterioration,1,1707,850000
MercyCorps,SHELTER,B-Preventing-deterioration,1,1708,250000
MercyCorps,SHELTER,B-Preventing-deterioration,1,1711,850000
NRC,SHELTER,B-Preventing-deterioration,5,2,100000
NRC,SHELTER,B-Preventing-deterioration,1,1707,8890000
PU-AMI,SHELTER,B-Preventing-deterioration,2,1702,208000
PU-AMI,SHELTER,B-Preventing-deterioration,2,1705,415000
PU-AMI,SHELTER,B-Preventing-deterioration,1,1708,208000
PU-AMI,SHELTER,B-Preventing-deterioration,2,1712,415000
TGH,SHELTER,B-Preventing-deterioration,2,1705,380000
TGH,SHELTER,B-Preventing-deterioration,1,1707,250000
UNHABITAT,SHELTER,B-Preventing-deterioration,1,1707,1000000
UNHCR,SHELTER,B-Preventing-deterioration,5,2,20237000
UNHCR,SHELTER,B-Preventing-deterioration,1,1707,10421700
UNOPS,SHELTER,B-Preventing-deterioration,5,2,2800000
ACTED,SHELTER,C-Capacity-building/Resilience,4,1,2000000
MEDAIR,SHELTER,C-Capacity-building/Resilience,1,1707,45000
UNHABITAT,SHELTER,C-Capacity-building/Resilience,1,1707,1850000
UNHABITAT,SHELTER,C-Capacity-building/Resilience,2,1712,1500000
ACTED,WASH,A-Life-saving,4,1,300000
CHF,WASH,A-Life-saving,3,1703,13000
CHF,WASH,A-Life-saving,1,1704,13000
CHF,WASH,A-Life-saving,3,1709,13000
CHF,WASH,A-Life-saving,3,1706,13000
HI,WASH,A-Life-saving,5,2,400000
MEDAIR,WASH,A-Life-saving,1,1711,400000
UNICEF,WASH,A-Life-saving,4,1,91324800
WVI,WASH,A-Life-saving,1,1707,137500
WVI,WASH,A-Life-saving,2,1712,212500
ACF,WASH,B-Preventing-deterioration,1,1707,208250
ACTED,WASH,B-Preventing-deterioration,4,1,2242000
CHF,WASH,B-Preventing-deterioration,3,1703,15625
CHF,WASH,B-Preventing-deterioration,1,1704,15625
CHF,WASH,B-Preventing-deterioration,3,1709,15625
CHF,WASH,B-Preventing-deterioration,3,1706,15625
JEN,WASH,B-Preventing-deterioration,2,1705,250000
JEN,WASH,B-Preventing-deterioration,5,2,2500000
JEN,WASH,B-Preventing-deterioration,1,1707,250000
JEN,WASH,B-Preventing-deterioration,1,1711,250000
JEN,WASH,B-Preventing-deterioration,2,1712,250000
JHAS,WASH,B-Preventing-deterioration,4,1,1000000
LWF,WASH,B-Preventing-deterioration,5,2,670593
MEDAIR,WASH,B-Preventing-deterioration,1,1711,1230000
MercyCorps,WASH,B-Preventing-deterioration,1,1707,48899
MercyCorps,WASH,B-Preventing-deterioration,1,1711,5300000
OXFAM,WASH,B-Preventing-deterioration,2,1702,475050
OXFAM,WASH,B-Preventing-deterioration,2,1712,122500
RI,WASH,B-Preventing-deterioration,1,1707,4800000
RI,WASH,B-Preventing-deterioration,1,1704,1000000
RI,WASH,B-Preventing-deterioration,1,1711,2400000
UNDP,WASH,B-Preventing-deterioration,1,1707,11000000
UNHCR,WASH,B-Preventing-deterioration,5,2,500000
UNHCR,WASH,B-Preventing-deterioration,1,1707,5028000
UNHCR,WASH,B-Preventing-deterioration,1,1711,3612000
UNICEF,WASH,B-Preventing-deterioration,4,1,846720
WVI,WASH,B-Preventing-deterioration,5,2,0
WVI,WASH,B-Preventing-deterioration,1,1707,260000
WVI,WASH,B-Preventing-deterioration,1,1711,1500000
WVI,WASH,B-Preventing-deterioration,2,1712,475000
ACTED,WASH,C-Capacity-building/Resilience,4,1,3000000
MEDAIR,WASH,C-Capacity-building/Resilience,1,1711,50000
RI,WASH,C-Capacity-building/Resilience,1,1707,40000
RI,WASH,C-Capacity-building/Resilience,1,1704,10000
RI,WASH,C-Capacity-building/Resilience,1,1711,20000
UNHABITAT,WASH,C-Capacity-building/Resilience,1,1711,1235000
UNHCR,WASH,C-Capacity-building/Resilience,1,1701,420000
UNHCR,WASH,C-Capacity-building/Resilience,5,2,6578300
UNHCR,WASH,C-Capacity-building/Resilience,1,1707,1454000
UNHCR,WASH,C-Capacity-building/Resilience,1,1708,420000
UNHCR,WASH,C-Capacity-building/Resilience,1,1711,1458000
